report_id,length_ratio,chrf,ter,cosine_sim,bertscore_p,bertscore_r,bertscore_f1
RPT_003473,1.0,53.46213732382995,0.6351351351351351,0.9729605317115784,0.9555953145027161,0.9537131786346436,0.9546533226966858
RPT_003474,1.0,54.39531504378942,0.625,0.9719762206077576,0.9621148705482483,0.961824893951416,0.9619698524475098
RPT_003475,0.9838709677419355,50.700399212433226,0.7096774193548387,0.9668503999710083,0.9495375752449036,0.9475112557411194,0.9485233426094055
RPT_003476,1.0175438596491229,54.48782629882886,0.7017543859649122,0.9786803722381592,0.9555637836456299,0.95213782787323,0.9538477063179016
RPT_003477,0.984375,49.21292756863177,0.71875,0.9767188429832458,0.9502245187759399,0.9475634694099426,0.9488920569419861
RPT_003478,0.9538461538461539,49.88295177716601,0.7230769230769231,0.97395920753479,0.9518364667892456,0.9497644901275635,0.9507993459701538
RPT_003479,1.0,54.39531504378942,0.625,0.9719762206077576,0.9621148705482483,0.961824893951416,0.9619698524475098
RPT_003480,1.0232558139534884,53.861942593784704,0.6395348837209303,0.9766395688056946,0.9544285535812378,0.9494664669036865,0.9519410133361816
RPT_003481,1.0,52.006148756276126,0.6428571428571429,0.970592737197876,0.9519121050834656,0.9486842155456543,0.9502953886985779
RPT_003482,0.9102564102564102,51.682021400821334,0.6666666666666665,0.976860523223877,0.9534586071968079,0.9502137899398804,0.9518334269523621
RPT_003483,1.0,53.99643913951624,0.652542372881356,0.9782961010932922,0.9592136144638062,0.9570684432983398,0.9581398367881775
RPT_003484,1.0113636363636365,56.148203903656956,0.5909090909090909,0.9825243353843689,0.9611773490905762,0.9604532122612,0.9608150720596313
RPT_003485,0.9090909090909091,45.060758698644264,0.7818181818181819,0.9712055325508118,0.9483020305633545,0.9448452591896057,0.9465705156326294
RPT_003486,0.9333333333333333,53.51445660135169,0.6555555555555556,0.9821620583534241,0.9538470506668091,0.9521782994270325,0.9530119299888611
RPT_003487,0.9298245614035088,49.04065068952758,0.7017543859649122,0.9806996583938599,0.9491148591041565,0.94515460729599,0.947130560874939
RPT_003488,1.0,53.13482652547955,0.6463414634146342,0.9693626165390015,0.9580643773078918,0.9558258652687073,0.9569438099861145
RPT_003489,1.0135135135135136,56.75775687005652,0.5945945945945946,0.9815329313278198,0.9642041325569153,0.9647755026817322,0.9644896984100342
RPT_003490,0.9387755102040817,55.88281397956346,0.6122448979591837,0.9853082299232483,0.9612255096435547,0.9598410129547119,0.9605327844619751
RPT_003491,0.9456521739130435,53.54277791141928,0.6413043478260869,0.9824641346931458,0.9604659080505371,0.9584879875183105,0.9594759345054626
RPT_003492,0.9361702127659575,56.693046293203864,0.6170212765957447,0.980453372001648,0.9565788507461548,0.9550060629844666,0.9557918310165405
RPT_003493,0.9775280898876404,52.25695770432262,0.6629213483146067,0.9740710258483887,0.9499689936637878,0.948868989944458,0.9494186043739319
RPT_003494,1.0,51.48561784317519,0.6818181818181818,0.9876980781555176,0.9556204080581665,0.9554867148399353,0.9555535912513733
